metric,metric_label,comparison,n_participants,mean_gap,std_gap,median_gap,wilcoxon_statistic,p_value,alternative,note,p_value_holm,is_significant_holm,correction_method
category,Category,1_to_3,10,0.2318602438627527,0.09963131655244868,0.23443223443223446,55.0,0.0009765625,greater,,0.0029296875,True,Holm within metric across 3 comparisons
category,Category,1_to_10,10,0.34709919995310196,0.15345135500278773,0.3635531135531136,55.0,0.0009765625,greater,,0.0029296875,True,Holm within metric across 3 comparisons
category,Category,3_to_10,10,0.11523895609034929,0.07944306901596615,0.11032388663967613,36.0,0.005859342799884316,greater,,0.005859342799884316,True,Holm within metric across 3 comparisons
target,Target,1_to_3,10,0.048422701013445105,0.04422231344551745,0.04006410256410256,28.0,0.008980238763039381,greater,,0.017960477526078763,True,Holm within metric across 3 comparisons
target,Target,1_to_10,10,0.10521767732641012,0.04550310777632305,0.1145104895104895,45.0,0.0038428970276066315,greater,,0.011528691082819894,True,Holm within metric across 3 comparisons
target,Target,3_to_10,10,0.056794976312965,0.04527808923064924,0.063894523326572,28.0,0.008980238763039381,greater,,0.017960477526078763,True,Holm within metric across 3 comparisons
combined,Category + Target,1_to_3,10,0.018711433756805805,0.03408806603202375,0.0,6.0,0.054404715020272845,greater,,0.054404715020272845,False,Holm within metric across 3 comparisons
combined,Category + Target,1_to_10,10,0.05409936883514336,0.042583057619268276,0.06350267379679145,28.0,0.008980238763039381,greater,,0.026940716289118143,True,Holm within metric across 3 comparisons
combined,Category + Target,3_to_10,10,0.035387935078337554,0.038822815183291094,0.02631578947368421,15.0,0.021557223391537678,greater,,0.043114446783075355,True,Holm within metric across 3 comparisons
matched_user_turn,Any-Turn Target,1_to_3,10,0.058182059302215164,0.036020566545957124,0.045454545454545456,45.0,0.0038162208241027556,greater,,0.007632441648205511,True,Holm within metric across 3 comparisons
matched_user_turn,Any-Turn Target,1_to_10,10,0.14023267078460844,0.037232392293985624,0.15037593984962405,55.0,0.0009765625,greater,,0.0029296875,True,Holm within metric across 3 comparisons
matched_user_turn,Any-Turn Target,3_to_10,10,0.08205061148239326,0.04556662453551078,0.08608058608058608,45.0,0.0038162208241027556,greater,,0.007632441648205511,True,Holm within metric across 3 comparisons
