k,metric,metric_label,n_interactions,mean_hit_at_k,std_hit_at_k
1,category,Category,257,0.5136186770428015,0.5007897459511376
1,target,Target,257,0.04669260700389105,0.21139130551347812
1,combined,Category + Target,257,0.042801556420233464,0.20280439004757286
1,matched_user_turn,Any-Turn Target,257,0.06614785992217899,0.24902533741979563
3,category,Category,257,0.7470817120622568,0.4355326806949239
3,target,Target,257,0.08949416342412451,0.28601268984935624
3,combined,Category + Target,257,0.054474708171206226,0.22739484250283107
3,matched_user_turn,Any-Turn Target,257,0.12062256809338522,0.3263236290784686
10,category,Category,257,0.8638132295719845,0.34365602712675336
10,target,Target,257,0.1517509727626459,0.3594793982180224
10,combined,Category + Target,257,0.0933852140077821,0.291539253252063
10,matched_user_turn,Any-Turn Target,257,0.21011673151750973,0.40818623439004603
