participant,metric,metric_label,comparison,baseline_k,higher_k,baseline_hit_at_k,higher_hit_at_k,gap
P1,category,Category,1_to_3,1,3,0.5263157894736842,0.631578947368421,0.10526315789473684
P1,category,Category,1_to_10,1,10,0.5263157894736842,0.7368421052631579,0.21052631578947367
P1,target,Target,1_to_3,1,3,0.05263157894736842,0.15789473684210525,0.10526315789473684
P1,target,Target,1_to_10,1,10,0.05263157894736842,0.21052631578947367,0.15789473684210525
P1,combined,Category + Target,1_to_3,1,3,0.05263157894736842,0.10526315789473684,0.05263157894736842
P1,combined,Category + Target,1_to_10,1,10,0.05263157894736842,0.15789473684210525,0.10526315789473684
P1,matched_user_turn,Any-Turn Target,1_to_3,1,3,0.05263157894736842,0.15789473684210525,0.10526315789473684
P1,matched_user_turn,Any-Turn Target,1_to_10,1,10,0.05263157894736842,0.21052631578947367,0.15789473684210525
P2,category,Category,1_to_3,1,3,0.4827586206896552,0.5517241379310345,0.06896551724137928
P2,category,Category,1_to_10,1,10,0.4827586206896552,0.5517241379310345,0.06896551724137928
P2,target,Target,1_to_3,1,3,0.0,0.06896551724137931,0.06896551724137931
P2,target,Target,1_to_10,1,10,0.0,0.13793103448275862,0.13793103448275862
P2,combined,Category + Target,1_to_3,1,3,0.0,0.034482758620689655,0.034482758620689655
P2,combined,Category + Target,1_to_10,1,10,0.0,0.034482758620689655,0.034482758620689655
P2,matched_user_turn,Any-Turn Target,1_to_3,1,3,0.034482758620689655,0.10344827586206896,0.06896551724137931
P2,matched_user_turn,Any-Turn Target,1_to_10,1,10,0.034482758620689655,0.20689655172413793,0.1724137931034483
P3,category,Category,1_to_3,1,3,0.4166666666666667,0.7083333333333334,0.2916666666666667
P3,category,Category,1_to_10,1,10,0.4166666666666667,0.9583333333333334,0.5416666666666667
P3,target,Target,1_to_3,1,3,0.125,0.16666666666666666,0.04166666666666666
P3,target,Target,1_to_10,1,10,0.125,0.25,0.125
P3,combined,Category + Target,1_to_3,1,3,0.08333333333333333,0.08333333333333333,0.0
P3,combined,Category + Target,1_to_10,1,10,0.08333333333333333,0.16666666666666666,0.08333333333333333
P3,matched_user_turn,Any-Turn Target,1_to_3,1,3,0.125,0.16666666666666666,0.04166666666666666
P3,matched_user_turn,Any-Turn Target,1_to_10,1,10,0.125,0.2916666666666667,0.16666666666666669
P5,category,Category,1_to_3,1,3,0.4230769230769231,0.6538461538461539,0.23076923076923078
P5,category,Category,1_to_10,1,10,0.4230769230769231,0.7692307692307693,0.3461538461538462
P5,target,Target,1_to_3,1,3,0.07692307692307693,0.11538461538461539,0.038461538461538464
P5,target,Target,1_to_10,1,10,0.07692307692307693,0.19230769230769232,0.11538461538461539
P5,combined,Category + Target,1_to_3,1,3,0.07692307692307693,0.07692307692307693,0.0
P5,combined,Category + Target,1_to_10,1,10,0.07692307692307693,0.07692307692307693,0.0
P5,matched_user_turn,Any-Turn Target,1_to_3,1,3,0.07692307692307693,0.11538461538461539,0.038461538461538464
P5,matched_user_turn,Any-Turn Target,1_to_10,1,10,0.07692307692307693,0.19230769230769232,0.11538461538461539
P6,category,Category,1_to_3,1,3,0.39285714285714285,0.6785714285714286,0.28571428571428575
P6,category,Category,1_to_10,1,10,0.39285714285714285,0.8928571428571429,0.5
P6,target,Target,1_to_3,1,3,0.0,0.10714285714285714,0.10714285714285714
P6,target,Target,1_to_10,1,10,0.0,0.10714285714285714,0.10714285714285714
P6,combined,Category + Target,1_to_3,1,3,0.0,0.0,0.0
P6,combined,Category + Target,1_to_10,1,10,0.0,0.0,0.0
P6,matched_user_turn,Any-Turn Target,1_to_3,1,3,0.0,0.10714285714285714,0.10714285714285714
P6,matched_user_turn,Any-Turn Target,1_to_10,1,10,0.0,0.14285714285714285,0.14285714285714285
P7,category,Category,1_to_3,1,3,0.6818181818181818,0.8636363636363636,0.18181818181818188
P7,category,Category,1_to_10,1,10,0.6818181818181818,0.8636363636363636,0.18181818181818188
P7,target,Target,1_to_3,1,3,0.0,0.0,0.0
P7,target,Target,1_to_10,1,10,0.0,0.13636363636363635,0.13636363636363635
P7,combined,Category + Target,1_to_3,1,3,0.0,0.0,0.0
