participant,k,metric,metric_label,hit_at_k
P1,1,category,Category,0.5263157894736842
P1,1,target,Target,0.10526315789473684
P1,1,combined,Category + Target,0.10526315789473684
P1,1,matched_user_turn,Any-Turn Target,0.05263157894736842
P1,3,category,Category,0.631578947368421
P1,3,target,Target,0.15789473684210525
P1,3,combined,Category + Target,0.10526315789473684
P1,3,matched_user_turn,Any-Turn Target,0.15789473684210525
P1,10,category,Category,0.7368421052631579
P1,10,target,Target,0.21052631578947367
P1,10,combined,Category + Target,0.15789473684210525
P1,10,matched_user_turn,Any-Turn Target,0.21052631578947367
P2,1,category,Category,0.4827586206896552
P2,1,target,Target,0.034482758620689655
P2,1,combined,Category + Target,0.0
P2,1,matched_user_turn,Any-Turn Target,0.034482758620689655
P2,3,category,Category,0.5517241379310345
P2,3,target,Target,0.10344827586206896
P2,3,combined,Category + Target,0.034482758620689655
P2,3,matched_user_turn,Any-Turn Target,0.10344827586206896
P2,10,category,Category,0.5517241379310345
P2,10,target,Target,0.1724137931034483
P2,10,combined,Category + Target,0.034482758620689655
P2,10,matched_user_turn,Any-Turn Target,0.20689655172413793
P3,1,category,Category,0.4166666666666667
P3,1,target,Target,0.08333333333333333
P3,1,combined,Category + Target,0.08333333333333333
P3,1,matched_user_turn,Any-Turn Target,0.125
P3,3,category,Category,0.7083333333333334
P3,3,target,Target,0.125
P3,3,combined,Category + Target,0.08333333333333333
P3,3,matched_user_turn,Any-Turn Target,0.16666666666666666
P3,10,category,Category,0.9583333333333334
P3,10,target,Target,0.25
P3,10,combined,Category + Target,0.16666666666666666
P3,10,matched_user_turn,Any-Turn Target,0.2916666666666667
P5,1,category,Category,0.4230769230769231
P5,1,target,Target,0.07692307692307693
P5,1,combined,Category + Target,0.07692307692307693
P5,1,matched_user_turn,Any-Turn Target,0.07692307692307693
P5,3,category,Category,0.6538461538461539
P5,3,target,Target,0.11538461538461539
P5,3,combined,Category + Target,0.07692307692307693
P5,3,matched_user_turn,Any-Turn Target,0.11538461538461539
P5,10,category,Category,0.7692307692307693
P5,10,target,Target,0.23076923076923078
P5,10,combined,Category + Target,0.07692307692307693
P5,10,matched_user_turn,Any-Turn Target,0.19230769230769232
P6,1,category,Category,0.39285714285714285
P6,1,target,Target,0.0
P6,1,combined,Category + Target,0.0
P6,1,matched_user_turn,Any-Turn Target,0.0
P6,3,category,Category,0.6785714285714286
P6,3,target,Target,0.10714285714285714
P6,3,combined,Category + Target,0.0
P6,3,matched_user_turn,Any-Turn Target,0.10714285714285714
P6,10,category,Category,0.8928571428571429
P6,10,target,Target,0.14285714285714285
P6,10,combined,Category + Target,0.03571428571428571
P6,10,matched_user_turn,Any-Turn Target,0.14285714285714285
P7,1,category,Category,0.6818181818181818
P7,1,target,Target,0.045454545454545456
P7,1,combined,Category + Target,0.045454545454545456
P7,1,matched_user_turn,Any-Turn Target,0.0
P7,3,category,Category,0.8636363636363636
P7,3,target,Target,0.045454545454545456
P7,3,combined,Category + Target,0.045454545454545456
P7,3,matched_user_turn,Any-Turn Target,0.045454545454545456
P7,10,category,Category,0.8636363636363636
P7,10,target,Target,0.18181818181818182
P7,10,combined,Category + Target,0.13636363636363635
P7,10,matched_user_turn,Any-Turn Target,0.18181818181818182
P8,1,category,Category,0.6
P8,1,target,Target,0.0
P8,1,combined,Category + Target,0.0
P8,1,matched_user_turn,Any-Turn Target,0.0
P8,3,category,Category,0.9
P8,3,target,Target,0.1
P8,3,combined,Category + Target,0.1
P8,3,matched_user_turn,Any-Turn Target,0.1
P8,10,category,Category,1.0
P8,10,target,Target,0.3
P8,10,combined,Category + Target,0.3
P8,10,matched_user_turn,Any-Turn Target,0.1
P9,1,category,Category,0.5714285714285714
P9,1,target,Target,0.09523809523809523
P9,1,combined,Category + Target,0.09523809523809523
P9,1,matched_user_turn,Any-Turn Target,0.19047619047619047
P9,3,category,Category,0.8095238095238095
P9,3,target,Target,0.14285714285714285
P9,3,combined,Category + Target,0.09523809523809523
P9,3,matched_user_turn,Any-Turn Target,0.19047619047619047
P9,10,category,Category,0.9523809523809523
P9,10,target,Target,0.14285714285714285
P9,10,combined,Category + Target,0.09523809523809523
P9,10,matched_user_turn,Any-Turn Target,0.2857142857142857
P10,1,category,Category,0.6136363636363636
P10,1,target,Target,0.045454545454545456
P10,1,combined,Category + Target,0.045454545454545456
P10,1,matched_user_turn,Any-Turn Target,0.045454545454545456
P10,3,category,Category,0.8181818181818182
P10,3,target,Target,0.06818181818181818
P10,3,combined,Category + Target,0.045454545454545456
P10,3,matched_user_turn,Any-Turn Target,0.09090909090909091
P10,10,category,Category,0.9545454545454546
P10,10,target,Target,0.1590909090909091
P10,10,combined,Category + Target,0.11363636363636363
P10,10,matched_user_turn,Any-Turn Target,0.22727272727272727
P11,1,category,Category,0.47058823529411764
P11,1,target,Target,0.058823529411764705
P11,1,combined,Category + Target,0.058823529411764705
P11,1,matched_user_turn,Any-Turn Target,0.11764705882352941
P11,3,category,Category,0.8823529411764706
P11,3,target,Target,0.058823529411764705
P11,3,combined,Category + Target,0.058823529411764705
P11,3,matched_user_turn,Any-Turn Target,0.14705882352941177
P11,10,category,Category,0.9705882352941176
P11,10,target,Target,0.11764705882352941
P11,10,combined,Category + Target,0.11764705882352941
P11,10,matched_user_turn,Any-Turn Target,0.20588235294117646
