k,metric,metric_label,n_participants,mean_hit_at_k,std_hit_at_k
1,category,Category,10,0.5179146494941307,0.0966435618452728
1,target,Target,10,0.05449730423307876,0.03665783132200264
1,combined,Category + Target,10,0.051049028371009796,0.040200383419239295
1,matched_user_turn,Any-Turn Target,10,0.06426152092454004,0.0635907034463169
3,category,Category,10,0.7497748933568833,0.12043552397792377
3,target,Target,10,0.10241875211369181,0.03611360788620168
3,combined,Category + Target,10,0.06449730423307876,0.0336562830991907
3,matched_user_turn,Any-Turn Target,10,0.12244358022675521,0.04283952565402328
10,category,Category,10,0.8650138494472326,0.14073404433231823
10,target,Target,10,0.19079797751090588,0.05655727373889769
10,combined,Category + Target,10,0.12345666788284489,0.07680723169046158
10,matched_user_turn,Any-Turn Target,10,0.20449419170914845,0.05786916725912528
