metric,metric_label,rank,match_count
category,Category,1,132
category,Category,2,125
category,Category,3,116
category,Category,4,120
category,Category,5,127
category,Category,6,132
category,Category,7,125
category,Category,8,135
category,Category,9,130
category,Category,10,126
target,Target,1,14
target,Target,2,5
target,Target,3,8
target,Target,4,6
target,Target,5,5
target,Target,6,5
target,Target,7,4
target,Target,8,5
target,Target,9,1
target,Target,10,3
matched_user_turn,Any-Turn Target,1,17
matched_user_turn,Any-Turn Target,2,7
matched_user_turn,Any-Turn Target,3,9
matched_user_turn,Any-Turn Target,4,5
matched_user_turn,Any-Turn Target,5,8
matched_user_turn,Any-Turn Target,6,5
matched_user_turn,Any-Turn Target,7,4
matched_user_turn,Any-Turn Target,8,5
matched_user_turn,Any-Turn Target,9,5
matched_user_turn,Any-Turn Target,10,2
