participant,k,target_hit_at_k,anyturn_hit_at_k,gap
P1,1,0.05263157894736842,0.05263157894736842,0.0
P1,3,0.15789473684210525,0.15789473684210525,0.0
P1,10,0.21052631578947367,0.21052631578947367,0.0
P2,1,0.0,0.034482758620689655,0.034482758620689655
P2,3,0.06896551724137931,0.10344827586206896,0.034482758620689655
P2,10,0.13793103448275862,0.20689655172413793,0.06896551724137931
P3,1,0.125,0.125,0.0
P3,3,0.16666666666666666,0.16666666666666666,0.0
P3,10,0.25,0.2916666666666667,0.041666666666666685
P5,1,0.07692307692307693,0.07692307692307693,0.0
P5,3,0.11538461538461539,0.11538461538461539,0.0
P5,10,0.19230769230769232,0.19230769230769232,0.0
P6,1,0.0,0.0,0.0
P6,3,0.10714285714285714,0.10714285714285714,0.0
P6,10,0.10714285714285714,0.14285714285714285,0.03571428571428571
P7,1,0.0,0.0,0.0
P7,3,0.0,0.045454545454545456,0.045454545454545456
P7,10,0.13636363636363635,0.18181818181818182,0.04545454545454547
P8,1,0.0,0.0,0.0
P8,3,0.1,0.1,0.0
P8,10,0.1,0.1,0.0
P9,1,0.09523809523809523,0.19047619047619047,0.09523809523809523
P9,3,0.09523809523809523,0.19047619047619047,0.09523809523809523
P9,10,0.09523809523809523,0.2857142857142857,0.19047619047619047
P10,1,0.045454545454545456,0.045454545454545456,0.0
P10,3,0.06818181818181818,0.09090909090909091,0.022727272727272735
P10,10,0.1590909090909091,0.22727272727272727,0.06818181818181818
P11,1,0.058823529411764705,0.11764705882352941,0.058823529411764705
P11,3,0.058823529411764705,0.14705882352941177,0.08823529411764706
P11,10,0.11764705882352941,0.20588235294117646,0.08823529411764705
